compound,spacegroup,spacegroup_number,wyckoff_positions,atomic_species,number_of_atoms,cif_path,label
B1,Pnnm,58,"2d,4e,2b,8h,4f,4g,8h,4g,4g,8h,8h","['Ag', 'O', 'W']",56,cifs_linked/mp-504466.cif,Trivial
B1,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,Trivial
C1,Cmc 2 1,36,"4b,4b,4b,4b,4b,4b,4b,2a,4b,4b,2a,2a,2a,4b,4b,2a,2a,4b,4b,4b","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568386.cif,Trivial
C1,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,Trivial
C1,Cmme,67,"2g,2g,4n","['Ag', 'Cl', 'O']",8,cifs_linked/mp-1079156.cif,TI
C1,Pcca,54,"4d,4c,8f,8f,8f,8f,8f,8f,8f,8f,8f","['Ag', 'As', 'F', 'N', 'O', 'S']",80,cifs_linked/mp-649756.cif,TI
C1,Pban,50,"4i,8m,8m,8m,8m,8m","['B', 'Ca', 'O']",44,cifs_linked/mp-1198121.cif,TI
C1,Cmme,67,"2g,2g,4n","['Ag', 'Cl', 'O']",8,cifs_linked/mp-1079156.cif,Trivial
C1,Pban,50,"4i,8m,8m,8m,8m,8m","['B', 'Ca', 'O']",44,cifs_linked/mp-1198121.cif,TI
C1,Ia -3,206,"4b,4a,24e","['Ag', 'F', 'Sb']",32,cifs_linked/mp-3414.cif,Trivial
C1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,Trivial
C1,Cmmm,65,"1d,2e,1a,2k,4p","['Ag', 'Sb', 'Te']",10,cifs_linked/mp-1215084.cif,Trivial
C1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,Trivial
C1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,Trivial
C1,P -42 1 c,114,"4d,8e,8e,8e,2a,8e,8e","['Ag', 'H', 'N', 'O', 'S']",46,cifs_linked/mp-723002.cif,Trivial
C1,P 4 3 2 1 2,96,"8b,4a,8b","['Ag', 'Hg', 'O']",20,cifs_linked/mp-29816.cif,Trivial
C1,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,Trivial
C1,C 2,5,"2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c","['Ag', 'C', 'O']",40,cifs_linked/mp-600237.cif,Trivial
C1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,Trivial
C1,Imma,74,"2a,2d,4i,4h","['Ag', 'As', 'Br']",12,cifs_linked/mp-2646989.cif,Trivial
C1,P 2/ m,10,"1f,1g,1e,1a,2m,2n","['Ag', 'O', 'Pb']",8,cifs_linked/mp-997021.cif,Trivial
B4 Mo2,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
B4 Np1,P 4/ mbm,127,"8i,2d,8i,8i,8j,4g,2c","['Al', 'F']",40,cifs_linked/mp-555026.cif,TI
B4 Os1,Pmmn,59,"2e,2e","['Ag', 'Br']",4,cifs_linked/mp-2034510.cif,TI
B4 Os1,Cmce,64,"4e,2a,4f,4d","['Ag', 'Cl', 'Pd']",14,cifs_linked/mp-28557.cif,TI
B4 Os1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
B4 Pu1,P 4/ mbm,127,"8i,2d,8i,8i,8j,4g,2c","['Al', 'F']",40,cifs_linked/mp-555026.cif,TI
